Партія,Міська рада,Кандидати,Обрано,Не обрано
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Іллінецька міська рада,23,4,19
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Барська міська рада,34,4,30
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Бершадська міська рада,33,4,29
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Вінницька міська рада,54,9,45
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Гайсинська міська рада,34,6,28
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Гніванська міська рада,25,4,21
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Жмеринська міська рада,34,3,31
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Калинівська міська рада,33,4,29
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Козятинська міська рада,26,5,21
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Ладижинська міська рада,26,3,23
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Липовецька міська рада,26,5,21
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Могилів-Подільська міська рада,33,4,29
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Немирівська міська рада,26,3,23
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Погребищенська міська рада,26,3,23
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Тульчинська міська рада,34,5,29
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Хмільницька міська рада,31,4,27
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Шаргородська міська рада,22,3,19
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Ямпільська міська рада,23,2,21
"ПОЛІТИЧНА ПАРТІЯ ""АДВОКАТ""",Вінницька міська рада,31,0,31
"ПОЛІТИЧНА ПАРТІЯ ""ВОЛЯ""",Вінницька міська рада,48,0,48
"ПОЛІТИЧНА ПАРТІЯ ""ГОЛОС""",Барська міська рада,29,0,29
"ПОЛІТИЧНА ПАРТІЯ ""ГОЛОС""",Бершадська міська рада,34,4,30
"ПОЛІТИЧНА ПАРТІЯ ""ГОЛОС""",Вінницька міська рада,33,0,33
"ПОЛІТИЧНА ПАРТІЯ ""ГОЛОС""",Хмільницька міська рада,34,3,31
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ""",Бершадська міська рада,34,3,31
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКО-ПОЛІТИЧНА ПЛАТФОРМА НАДІЇ САВЧЕНКО""",Ладижинська міська рада,22,0,22
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДЯНСЬКА ПОЗИЦІЯ""",Гайсинська міська рада,22,0,22
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДЯНСЬКА ПОЗИЦІЯ""",Жмеринська міська рада,28,0,28
"ПОЛІТИЧНА ПАРТІЯ ""ЗА МАЙБУТНЄ""",Барська міська рада,34,4,30
"ПОЛІТИЧНА ПАРТІЯ ""ЗА МАЙБУТНЄ""",Вінницька міська рада,38,0,38
"ПОЛІТИЧНА ПАРТІЯ ""ЗА МАЙБУТНЄ""",Гайсинська міська рада,23,3,20
"ПОЛІТИЧНА ПАРТІЯ ""ЗА МАЙБУТНЄ""",Гніванська міська рада,21,0,21
"ПОЛІТИЧНА ПАРТІЯ ""ЗА МАЙБУТНЄ""",Жмеринська міська рада,33,4,29
"ПОЛІТИЧНА ПАРТІЯ ""ЗА МАЙБУТНЄ""",Калинівська міська рада,34,3,31
"ПОЛІТИЧНА ПАРТІЯ ""ЗА МАЙБУТНЄ""",Козятинська міська рада,26,0,26
"ПОЛІТИЧНА ПАРТІЯ ""ЗА МАЙБУТНЄ""",Ладижинська міська рада,16,0,16
"ПОЛІТИЧНА ПАРТІЯ ""ЗА МАЙБУТНЄ""",Липовецька міська рада,26,3,23
"ПОЛІТИЧНА ПАРТІЯ ""ЗА МАЙБУТНЄ""",Могилів-Подільська міська рада,33,3,30
"ПОЛІТИЧНА ПАРТІЯ ""ЗА МАЙБУТНЄ""",Немирівська міська рада,24,0,24
"ПОЛІТИЧНА ПАРТІЯ ""ЗА МАЙБУТНЄ""",Погребищенська міська рада,26,3,23
"ПОЛІТИЧНА ПАРТІЯ ""ЗА МАЙБУТНЄ""",Тульчинська міська рада,34,4,30
"ПОЛІТИЧНА ПАРТІЯ ""ЗА МАЙБУТНЄ""",Хмільницька міська рада,34,10,24
"ПОЛІТИЧНА ПАРТІЯ ""ЗА МАЙБУТНЄ""",Шаргородська міська рада,26,3,23
"ПОЛІТИЧНА ПАРТІЯ ""ЗА МАЙБУТНЄ""",Ямпільська міська рада,26,2,24
"ПОЛІТИЧНА ПАРТІЯ ""НАРОДНИЙ РУХ УКРАЇНИ""",Вінницька міська рада,33,0,33
"ПОЛІТИЧНА ПАРТІЯ ""НАШ КРАЙ""",Барська міська рада,22,0,22
"ПОЛІТИЧНА ПАРТІЯ ""НАШ КРАЙ""",Бершадська міська рада,33,5,28
"ПОЛІТИЧНА ПАРТІЯ ""НАШ КРАЙ""",Вінницька міська рада,32,0,32
"ПОЛІТИЧНА ПАРТІЯ ""НАШ КРАЙ""",Гайсинська міська рада,34,0,34
"ПОЛІТИЧНА ПАРТІЯ ""НАШ КРАЙ""",Гніванська міська рада,26,3,23
"ПОЛІТИЧНА ПАРТІЯ ""НАШ КРАЙ""",Жмеринська міська рада,28,0,28
"ПОЛІТИЧНА ПАРТІЯ ""НАШ КРАЙ""",Калинівська міська рада,34,0,34
"ПОЛІТИЧНА ПАРТІЯ ""НАШ КРАЙ""",Козятинська міська рада,26,0,26
"ПОЛІТИЧНА ПАРТІЯ ""НАШ КРАЙ""",Ладижинська міська рада,26,7,19
"ПОЛІТИЧНА ПАРТІЯ ""НАШ КРАЙ""",Липовецька міська рада,23,0,23
"ПОЛІТИЧНА ПАРТІЯ ""НАШ КРАЙ""",Могилів-Подільська міська рада,33,0,33
"ПОЛІТИЧНА ПАРТІЯ ""НАШ КРАЙ""",Немирівська міська рада,26,3,23
"ПОЛІТИЧНА ПАРТІЯ ""НАШ КРАЙ""",Тульчинська міська рада,18,0,18
"ПОЛІТИЧНА ПАРТІЯ ""НОВА ПОЛІТИКА""",Хмільницька міська рада,34,0,34
