,Кількість кандидатів,Кількість кандидатів,Кількість кандидатів,Кількість кандидатів,Кількість кандидатів,Кількість кандидатів,Кількість кандидатів,Кількість кандидатів,Кількість кандидатів,Кількість обраних кандидатів,Кількість обраних кандидатів,Кількість обраних кандидатів,Кількість обраних кандидатів,Кількість обраних кандидатів,Кількість обраних кандидатів,Кількість обраних кандидатів,Кількість обраних кандидатів,Кількість обраних кандидатів
,Володимир-Волинська міська рада,Горохівська міська рада,Камінь-Каширська міська рада,Ковельська міська рада,Ківерцівська міська рада,Луцька міська рада,Любомльська міська рада,Нововолинська міська рада,Рожищенська міська рада,Володимир-Волинська міська рада,Горохівська міська рада,Камінь-Каширська міська рада,Ковельська міська рада,Ківерцівська міська рада,Луцька міська рада,Любомльська міська рада,Нововолинська міська рада,Рожищенська міська рада
Партія,,,,,,,,,,,,,,,,,,
АГРАРНА ПАРТІЯ УКРАЇНИ,0,26,28,24,26,40,0,0,16,0,6,0,6,0,0,0,0,0
ПАРТІЯ ПЕНСІОНЕРІВ УКРАЇНИ,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",34,24,32,38,26,39,26,26,26,4,3,5,5,4,9,2,6,5
"ПОЛІТИЧНА ПАРТІЯ ""ГОЛОС""",0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ""",0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДЯНСЬКА ПОЗИЦІЯ""",34,0,0,0,0,0,0,26,0,4,0,0,0,0,0,0,0,0
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДЯНСЬКИЙ РУХ ""СВІДОМІ""",0,0,0,0,0,42,0,0,0,0,0,0,0,0,6,0,0,0
"ПОЛІТИЧНА ПАРТІЯ ""ЕКО ПАРТІЯ БЕРЕЗИ""",0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0
"ПОЛІТИЧНА ПАРТІЯ ""ЗА МАЙБУТНЄ""",34,25,31,38,25,42,26,34,26,11,4,11,7,6,13,7,14,8
"ПОЛІТИЧНА ПАРТІЯ ""НАРОДНИЙ РУХ УКРАЇНИ""",0,0,0,0,25,36,0,0,0,0,0,0,0,4,0,0,0,0
"ПОЛІТИЧНА ПАРТІЯ ""НАЦІОНАЛЬНИЙ КОРПУС""",0,0,0,21,26,0,0,0,21,0,0,0,0,3,0,0,0,0
"ПОЛІТИЧНА ПАРТІЯ ""НАШ КРАЙ""",0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
"ПОЛІТИЧНА ПАРТІЯ ""ОБ’ЄДНАННЯ ""САМОПОМІЧ""",25,18,23,0,0,0,0,28,22,3,0,0,0,0,0,0,0,3
"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",30,0,0,0,0,31,0,27,0,0,0,0,0,0,0,0,0,0
"ПОЛІТИЧНА ПАРТІЯ ""ПЕРЕМОГА ПАЛЬЧЕВСЬКОГО""",0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
"ПОЛІТИЧНА ПАРТІЯ ""ПОБРАТИМИ УКРАЇНИ""",0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА""",0,26,0,23,0,0,26,29,17,0,3,0,0,0,0,4,0,0
"ПОЛІТИЧНА ПАРТІЯ ""РАЗОМ СИЛА""",0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
"ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ""",34,19,0,38,0,30,26,26,0,4,2,0,4,0,0,5,0,0
"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",21,18,32,28,26,31,26,27,26,4,2,8,7,5,5,2,4,5
"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА""",31,26,34,38,26,42,25,33,25,4,3,5,5,4,4,3,5,5
"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА""",26,25,29,30,22,42,26,33,0,0,3,0,3,0,5,3,5,0
УКРАЇНСЬКА НАРОДНА ПАРТІЯ,0,0,34,34,0,0,0,0,0,0,0,5,0,0,0,0,0,0
